VERSION;7.2.1.201802190531
DATE;01/08/2018 07:46
ITERATION;MODEL;OBJECTIVE FUNCTION;VALUE
1;base0003;NQDS BHP WELL PROD4;-0.4406358263315227
1;base0003;NQDS QL WELL PROD5;5.876249633068619E-15
1;base0003;NQDS QW WELL PROD5;1.937906046646136E-13
1;base0003;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0003;NQDS BHP WELL PROD5;-0.6250420830020549
1;base0003;NQDS QL WELL PROD6;-2.279795200976711E-10
1;base0003;NQDS QW WELL PROD6;-57.17365143776402
1;base0003;NQDS QO WELL PROD6;2.245573818224029
1;base0003;NQDS BHP WELL PROD6;-0.3845254199414604
1;base0003;NQDS QL WELL PROD7;4.509830821587629E-10
1;base0003;NQDS QW WELL PROD7;5.01977292903316
1;base0003;NQDS QO WELL PROD7;-0.5659971134500578
1;base0003;NQDS BHP WELL PROD7;-0.6298385414268153
1;base0003;NQDS QL WELL PROD8;4.080552248373854E-11
1;base0003;NQDS QW WELL PROD8;-36.96058576698676
1;base0003;NQDS QO WELL PROD8;0.6375182435856276
1;base0003;NQDS BHP WELL PROD8;0.5555013676417644
1;base0003;NQDS QL WELL PROD9;1.616994103063139E-14
1;base0003;NQDS QW WELL PROD9;-59.35529931145939
1;base0003;NQDS QO WELL PROD9;1.394575148902702
1;base0003;NQDS BHP WELL PROD9;-0.3349083950084713
1;base0003;NQDS QL WELL PROD10;1.646758240399569E-10
1;base0003;NQDS QW WELL PROD10;-10.11297417859507
1;base0003;NQDS QO WELL PROD10;0.2478567906723044
1;base0003;NQDS BHP WELL PROD10;-0.3680790603904501
1;base0003;NQDS QWI WELL INJ1;0.0
1;base0003;NQDS BHP WELL INJ1;0.2413378230008384
1;base0003;NQDS QWI WELL INJ2;0.0
1;base0003;NQDS BHP WELL INJ2;-0.2238987495127273
1;base0003;NQDS QWI WELL INJ3;0.0
1;base0003;NQDS BHP WELL INJ3;-0.2722201786368829
1;base0003;NQDS QWI WELL INJ4;0.0
1;base0003;NQDS BHP WELL INJ4;-0.6232433032939502
1;base0003;NQDS QWI WELL INJ5;0.0
1;base0003;NQDS BHP WELL INJ5;-0.2928984623860689
1;base0003;NQDS QWI WELL INJ6;0.0
1;base0003;NQDS BHP WELL INJ6;-0.2601755730232286
1;base0003;NQDS QWI WELL INJ7;0.0
1;base0003;NQDS BHP WELL INJ7;-1.476843326431261
1;base0003;NQDS QWI WELL INJ8;0.0
1;base0003;NQDS BHP WELL INJ8;-0.2784616296774254
1;base0003;NQDS QWI WELL INJ9;0.0
1;base0003;NQDS BHP WELL INJ9;-0.4339104500247849
1;base0004;NQDS QL WELL WILDCAT;-1.520384390260701E-10
1;base0004;NQDS QW WELL WILDCAT;-1.599728468190147
1;base0004;NQDS QO WELL WILDCAT;0.04412957221527115
1;base0004;NQDS BHP WELL WILDCAT;-0.4416487252515516
1;base0004;NQDS QL WELL PROD1;4.887501025722441E-10
1;base0004;NQDS QW WELL PROD1;-8.006909766245407
1;base0004;NQDS QO WELL PROD1;0.7425264141467788
1;base0004;NQDS BHP WELL PROD1;-0.272437985472894
1;base0004;NQDS QL WELL PROD2;3.283481884857067E-10
1;base0004;NQDS QW WELL PROD2;-45.03983675222799
1;base0004;NQDS QO WELL PROD2;10.14936990161251
1;base0004;NQDS BHP WELL PROD2;0.1228386820920355
1;base0004;NQDS QL WELL PROD3;6.760189925369868E-15
1;base0004;NQDS QW WELL PROD3;1.904069492562092E-13
1;base0004;NQDS QO WELL PROD3;0.0
1;base0004;NQDS BHP WELL PROD3;-0.3231209933448977
1;base0004;NQDS QL WELL PROD4;2.869133769977191E-10
1;base0004;NQDS QW WELL PROD4;-6.058001553970904
1;base0004;NQDS QO WELL PROD4;0.4598117282990073
1;base0004;NQDS BHP WELL PROD4;-0.5105325646834994
1;base0004;NQDS QL WELL PROD5;2.365554033933707E-11
1;base0004;NQDS QW WELL PROD5;3.427384655490637E-9
1;base0004;NQDS QO WELL PROD5;2.325890296084465E-9
1;base0004;NQDS BHP WELL PROD5;-0.6570704986926864
1;base0004;NQDS QL WELL PROD6;-4.132785426185014E-10
1;base0004;NQDS QW WELL PROD6;-33.28932750857355
1;base0004;NQDS QO WELL PROD6;1.307463683071637
1;base0004;NQDS BHP WELL PROD6;-0.4037586923381911
1;base0004;NQDS QL WELL PROD7;-5.008142442079832E-10
1;base0004;NQDS QW WELL PROD7;0.7537410523631687
1;base0004;NQDS QO WELL PROD7;-0.08497842173232076
1;base0004;NQDS BHP WELL PROD7;-0.6075380354101741
1;base0004;NQDS QL WELL PROD8;-4.181413321719197E-10
1;base0004;NQDS QW WELL PROD8;-5.904521328611463
1;base0004;NQDS QO WELL PROD8;0.1018334861370665
1;base0004;NQDS BHP WELL PROD8;0.4155098711625867
1;base0004;NQDS QL WELL PROD9;9.582407947088063E-15
1;base0004;NQDS QW WELL PROD9;-59.35529966614539
1;base0004;NQDS QO WELL PROD9;1.394575148902702
1;base0004;NQDS BHP WELL PROD9;-0.278911647656603
1;base0004;NQDS QL WELL PROD10;-2.900679826291048E-10
1;base0004;NQDS QW WELL PROD10;-1.575545855397825
1;base0004;NQDS QO WELL PROD10;0.03861107449418073
1;base0004;NQDS BHP WELL PROD10;-0.3941073770000052
1;base0004;NQDS QWI WELL INJ1;0.0
1;base0004;NQDS BHP WELL INJ1;0.3448991927134341
1;base0004;NQDS QWI WELL INJ2;0.0
1;base0004;NQDS BHP WELL INJ2;-0.1332593029958284
1;base0004;NQDS QWI WELL INJ3;0.0
1;base0004;NQDS BHP WELL INJ3;-0.2663860977895674
1;base0004;NQDS QWI WELL INJ4;0.0
1;base0004;NQDS BHP WELL INJ4;-0.6110938773424694
1;base0004;NQDS QWI WELL INJ5;0.0
1;base0004;NQDS BHP WELL INJ5;-0.2551365146228971
1;base0004;NQDS QWI WELL INJ6;0.0
1;base0004;NQDS BHP WELL INJ6;-0.238175726112989
1;base0004;NQDS QWI WELL INJ7;0.0
1;base0004;NQDS BHP WELL INJ7;-2.399829801153131
1;base0004;NQDS QWI WELL INJ8;0.0
1;base0004;NQDS BHP WELL INJ8;-0.4698409366121361
1;base0004;NQDS QWI WELL INJ9;0.0
1;base0004;NQDS BHP WELL INJ9;-0.4186382824016709
1;base0005;NQDS QL WELL WILDCAT;1.483761519568021E-10
1;base0005;NQDS QW WELL WILDCAT;-3.315224397775537
1;base0005;NQDS QO WELL WILDCAT;0.09145354118047036
1;base0005;NQDS BHP WELL WILDCAT;-0.436487382721025
1;base0005;NQDS QL WELL PROD1;-5.242654974867424E-10
1;base0005;NQDS QW WELL PROD1;-5.007027302215577
1;base0005;NQDS QO WELL PROD1;0.4643193737363071
1;base0005;NQDS BHP WELL PROD1;-0.2572594928508963
1;base0005;NQDS QL WELL PROD2;3.502515955035978E-10
1;base0005;NQDS QW WELL PROD2;-11.73215860409561
1;base0005;NQDS QO WELL PROD2;2.643569982188415
1;base0005;NQDS BHP WELL PROD2;-0.1051976661684377
1;base0005;NQDS QL WELL PROD3;2.282777004929033E-11
1;base0005;NQDS QW WELL PROD3;2.653559773265103E-8
1;base0005;NQDS QO WELL PROD3;-2.264279550988587E-10
1;base0005;NQDS BHP WELL PROD3;-0.6972459125883376
1;base0005;NQDS QL WELL PROD4;2.954155590854158E-10
1;base0005;NQDS QW WELL PROD4;-25.07470780315839
1;base0005;NQDS QO WELL PROD4;1.903285562413851
1;base0005;NQDS BHP WELL PROD4;-0.417169304498002
1;base0005;NQDS QL WELL PROD5;9.115274956501923E-15
1;base0005;NQDS QW WELL PROD5;3.006091905224697E-13
1;base0005;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0005;NQDS BHP WELL PROD5;-1.135572093155491
1;base0005;NQDS QL WELL PROD6;-3.785619623861776E-10
1;base0005;NQDS QW WELL PROD6;-24.1780404311094
1;base0005;NQDS QO WELL PROD6;0.9495891135161563
1;base0005;NQDS BHP WELL PROD6;-0.3562340796086611
1;base0005;NQDS QL WELL PROD7;3.127100220502977E-10
1;base0005;NQDS QW WELL PROD7;-66.84327937701973
1;base0005;NQDS QO WELL PROD7;7.537986444568248
1;base0005;NQDS BHP WELL PROD7;-0.395327636831395
1;base0005;NQDS QL WELL PROD8;-3.124879532196589E-10
1;base0005;NQDS QW WELL PROD8;-4.022550223836519
1;base0005;NQDS QO WELL PROD8;0.06936976456688174
1;base0005;NQDS BHP WELL PROD8;0.3388970972199732
1;base0005;NQDS QL WELL PROD9;1.362681136883332E-14
1;base0005;NQDS QW WELL PROD9;-59.35529925222005
1;base0005;NQDS QO WELL PROD9;1.394575148902702
1;base0005;NQDS BHP WELL PROD9;-0.2331151226921803
1;base0005;NQDS QL WELL PROD10;3.753343666114668E-10
1;base0005;NQDS QW WELL PROD10;-7.268879078587279
1;base0005;NQDS QO WELL PROD10;0.1781595370898537
1;base0005;NQDS BHP WELL PROD10;-0.3360853478431078
1;base0005;NQDS QWI WELL INJ1;0.0
1;base0005;NQDS BHP WELL INJ1;0.277283099813338
1;base0005;NQDS QWI WELL INJ2;0.0
1;base0005;NQDS BHP WELL INJ2;-0.1888219605677161
1;base0005;NQDS QWI WELL INJ3;0.0
1;base0005;NQDS BHP WELL INJ3;-0.230987811684086
1;base0005;NQDS QWI WELL INJ4;0.0
1;base0005;NQDS BHP WELL INJ4;-0.5237653749542475
1;base0005;NQDS QWI WELL INJ5;0.0
1;base0005;NQDS BHP WELL INJ5;-0.2948758168601354
1;base0005;NQDS QWI WELL INJ6;0.0
1;base0005;NQDS BHP WELL INJ6;0.7915441109507165
1;base0005;NQDS QWI WELL INJ7;0.0
1;base0005;NQDS BHP WELL INJ7;-1.735681087277661
1;base0005;NQDS QWI WELL INJ8;0.0
1;base0005;NQDS BHP WELL INJ8;-0.2871918696836861
1;base0005;NQDS QWI WELL INJ9;0.0
1;base0005;NQDS BHP WELL INJ9;-0.5137824880383487
1;base0006;NQDS QL WELL WILDCAT;-2.739300724077871E-10
1;base0006;NQDS QW WELL WILDCAT;1.542916094346849
1;base0006;NQDS QO WELL WILDCAT;-0.04255419616233136
1;base0006;NQDS BHP WELL WILDCAT;-0.6037077208228059
1;base0006;NQDS QL WELL PROD1;-5.506944047278864E-10
1;base0006;NQDS QW WELL PROD1;-15.12673466615278
1;base0006;NQDS QO WELL PROD1;1.402782910060232
1;base0006;NQDS BHP WELL PROD1;-0.3511627398594914
1;base0006;NQDS QL WELL PROD2;2.957567376863884E-10
1;base0006;NQDS QW WELL PROD2;-38.36673744693301
1;base0006;NQDS QO WELL PROD2;8.645545197237158
1;base0006;NQDS BHP WELL PROD2;-0.2417934498550251
1;base0006;NQDS QL WELL PROD3;1.399560429088101E-14
1;base0006;NQDS QW WELL PROD3;3.941990307140613E-13
1;base0006;NQDS QO WELL PROD3;0.0
1;base0006;NQDS BHP WELL PROD3;-0.516944227554002
1;base0006;NQDS QL WELL PROD4;3.196241022756729E-10
1;base0006;NQDS QW WELL PROD4;-25.91131709914538
1;base0006;NQDS QO WELL PROD4;1.966790892305698
1;base0006;NQDS BHP WELL PROD4;-0.3945243039346634
1;base0006;NQDS QL WELL PROD5;2.024589781972686E-14
1;base0006;NQDS QW WELL PROD5;6.676817741682614E-13
1;base0006;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0006;NQDS BHP WELL PROD5;-1.482685218628923
1;base0006;NQDS QL WELL PROD6;-2.760087966206014E-10
1;base0006;NQDS QW WELL PROD6;-55.89179833254886
1;base0006;NQDS QO WELL PROD6;2.195224238943456
1;base0006;NQDS BHP WELL PROD6;-0.2180480936408876
1;base0006;NQDS QL WELL PROD7;4.207751530182823E-10
1;base0006;NQDS QW WELL PROD7;-41.72925131882102
1;base0006;NQDS QO WELL PROD7;4.705887444404016
1;base0006;NQDS BHP WELL PROD7;-1.420600682693824
1;base0006;NQDS QL WELL PROD8;-3.914586325021568E-10
1;base0006;NQDS QW WELL PROD8;-13.93371994621536
1;base0006;NQDS QO WELL PROD8;0.2403272473229722
1;base0006;NQDS BHP WELL PROD8;-0.3444407777723626
1;base0006;NQDS QL WELL PROD9;8.123432887157524E-14
1;base0006;NQDS QW WELL PROD9;-59.35529611371861
1;base0006;NQDS QO WELL PROD9;1.394575148902702
1;base0006;NQDS BHP WELL PROD9;-1.198902371302639
1;base0006;NQDS QL WELL PROD10;2.298617348694873E-10
1;base0006;NQDS QW WELL PROD10;-32.49262889692839
1;base0006;NQDS QO WELL PROD10;0.7963590326291838
1;base0006;NQDS BHP WELL PROD10;-0.4325235983002701
1;base0006;NQDS QWI WELL INJ1;0.0
1;base0006;NQDS BHP WELL INJ1;0.1863473846781034
1;base0006;NQDS QWI WELL INJ2;0.0
1;base0006;NQDS BHP WELL INJ2;-0.1158830651030573
1;base0006;NQDS QWI WELL INJ3;0.0
1;base0006;NQDS BHP WELL INJ3;0.2709167673254318
1;base0006;NQDS QWI WELL INJ4;0.0
1;base0006;NQDS BHP WELL INJ4;-0.637704102819716
1;base0006;NQDS QWI WELL INJ5;0.0
1;base0006;NQDS BHP WELL INJ5;-0.1540143469105801
1;base0006;NQDS QWI WELL INJ6;0.0
1;base0006;NQDS BHP WELL INJ6;0.6015856010195919
1;base0006;NQDS QWI WELL INJ7;0.0
1;base0006;NQDS BHP WELL INJ7;-1.039308230579107
1;base0006;NQDS QWI WELL INJ8;0.0
1;base0006;NQDS BHP WELL INJ8;0.3483208405971462
1;base0006;NQDS QWI WELL INJ9;0.0
1;base0006;NQDS BHP WELL INJ9;-0.1858682543128778
1;base0007;NQDS QL WELL WILDCAT;-1.507195513148273E-10
1;base0007;NQDS QW WELL WILDCAT;-0.9207896403747481
1;base0007;NQDS QO WELL WILDCAT;0.02539183832794547
1;base0007;NQDS BHP WELL WILDCAT;-0.5258789391738955
1;base0007;NQDS QL WELL PROD1;-5.355249294482556E-10
1;base0007;NQDS QW WELL PROD1;-4.83334049890882
1;base0007;NQDS QO WELL PROD1;0.4482140271950145
1;base0007;NQDS BHP WELL PROD1;-0.2735449014016486
1;base0007;NQDS QL WELL PROD2;3.883031971622608E-10
1;base0007;NQDS QW WELL PROD2;-7.795052024027069
1;base0007;NQDS QO WELL PROD2;1.75638598431499
1;base0007;NQDS BHP WELL PROD2;0.1827021881990198
1;base0007;NQDS QL WELL PROD3;-5.27638617141931E-11
1;base0007;NQDS QW WELL PROD3;2.598813899969963E-5
1;base0007;NQDS QO WELL PROD3;-2.334472217069232E-7
1;base0007;NQDS BHP WELL PROD3;-0.4736752660446735
1;base0007;NQDS QL WELL PROD4;3.821372528590949E-10
1;base0007;NQDS QW WELL PROD4;-3.239199629574123
1;base0007;NQDS QO WELL PROD4;0.2458580499018771
1;base0007;NQDS BHP WELL PROD4;-0.4830187958520538
1;base0007;NQDS QL WELL PROD5;5.899918581870368E-15
1;base0007;NQDS QW WELL PROD5;1.945711739369356E-13
1;base0007;NQDS QO WELL PROD5;2.871469501338845E-9
1;base0007;NQDS BHP WELL PROD5;-0.7507013066461373
1;base0007;NQDS QL WELL PROD6;-3.378368120308002E-10
1;base0007;NQDS QW WELL PROD6;-29.85385591908188
1;base0007;NQDS QO WELL PROD6;1.172507901403858
1;base0007;NQDS BHP WELL PROD6;-0.4790263174984347
1;base0007;NQDS QL WELL PROD7;3.483259196121456E-10
1;base0007;NQDS QW WELL PROD7;3.389501049587871
1;base0007;NQDS QO WELL PROD7;-0.3821535646470681
1;base0007;NQDS BHP WELL PROD7;-0.691968597870092
1;base0007;NQDS QL WELL PROD8;-3.945386261419705E-10
1;base0007;NQDS QW WELL PROD8;-7.190078409446819
1;base0007;NQDS QO WELL PROD8;0.1240110778968824
1;base0007;NQDS BHP WELL PROD8;0.4592183907507472
1;base0007;NQDS QL WELL PROD9;8.592365004245073E-15
1;base0007;NQDS QW WELL PROD9;-59.35529987440553
